year,month,month_num,cpi,date
2013,Jan,1,104.6,2013-01-01
2013,Feb,2,105.3,2013-02-01
2013,Mar,3,105.5,2013-03-01
2013,Apr,4,106.1,2013-04-01
2013,May,5,106.9,2013-05-01
2013,Jun,6,109.3,2013-06-01
2013,Jul,7,111.0,2013-07-01
2013,Aug,8,112.4,2013-08-01
2013,Sep,9,113.7,2013-09-01
2013,Oct,10,114.8,2013-10-01
2013,Nov,11,116.3,2013-11-01
2013,Dec,12,114.5,2013-12-01
2014,Jan,1,113.6,2014-01-01
2014,Feb,2,113.6,2014-02-01
2014,Mar,3,114.2,2014-03-01
2014,Apr,4,115.1,2014-04-01
2014,May,5,115.8,2014-05-01
2014,Jun,6,116.7,2014-06-01
2014,Jul,7,119.2,2014-07-01
2014,Aug,8,120.3,2014-08-01
2014,Sep,9,120.1,2014-09-01
2014,Oct,10,120.1,2014-10-01
2014,Nov,11,120.1,2014-11-01
2014,Dec,12,119.4,2014-12-01
2015,Jan,1,119.5,2015-01-01
2015,Feb,2,119.7,2015-02-01
2015,Mar,3,120.2,2015-03-01
2015,Apr,4,120.7,2015-04-01
2015,May,5,121.6,2015-05-01
2015,Jun,6,123.0,2015-06-01
2015,Jul,7,123.6,2015-07-01
2015,Aug,8,124.8,2015-08-01
2015,Sep,9,125.4,2015-09-01
2015,Oct,10,126.1,2015-10-01
2015,Nov,11,126.6,2015-11-01
2015,Dec,12,126.1,2015-12-01
2016,Jan,1,126.3,2016-01-01
2016,Feb,2,126.0,2016-02-01
2016,Mar,3,126.0,2016-03-01
2016,Apr,4,127.3,2016-04-01
2016,May,5,128.6,2016-05-01
2016,Jun,6,130.1,2016-06-01
2016,Jul,7,131.1,2016-07-01
2016,Aug,8,131.1,2016-08-01
2016,Sep,9,130.9,2016-09-01
2016,Oct,10,131.4,2016-10-01
2016,Nov,11,131.2,2016-11-01
2016,Dec,12,130.4,2016-12-01
2017,Jan,1,130.3,2017-01-01
2017,Feb,2,130.6,2017-02-01
2017,Mar,3,130.9,2017-03-01
2017,Apr,4,131.1,2017-04-01
2017,May,5,131.4,2017-05-01
2017,Jun,6,132.0,2017-06-01
2017,Jul,7,134.2,2017-07-01
2017,Aug,8,135.4,2017-08-01
2017,Sep,9,135.2,2017-09-01
2017,Oct,10,136.1,2017-10-01
2017,Nov,11,137.6,2017-11-01
2017,Dec,12,137.2,2017-12-01
2018,Jan,1,136.9,2018-01-01
2018,Feb,2,136.4,2018-02-01
2018,Mar,3,136.5,2018-03-01
2018,Apr,4,137.1,2018-04-01
2018,May,5,137.8,2018-05-01
2018,Jun,6,138.5,2018-06-01
2018,Jul,7,139.8,2018-07-01
2018,Aug,8,140.4,2018-08-01
2018,Sep,9,140.2,2018-09-01
2018,Oct,10,140.7,2018-10-01
2018,Nov,11,140.8,2018-11-01
2018,Dec,12,140.1,2018-12-01
2019,Jan,1,139.6,2019-01-01
2019,Feb,2,139.9,2019-02-01
2019,Mar,3,140.4,2019-03-01
2019,Apr,4,141.2,2019-04-01
2019,May,5,142.0,2019-05-01
2019,Jun,6,142.9,2019-06-01
2019,Jul,7,144.2,2019-07-01
2019,Aug,8,145.0,2019-08-01
2019,Sep,9,145.8,2019-09-01
2019,Oct,10,147.2,2019-10-01
2019,Nov,11,148.6,2019-11-01
2019,Dec,12,150.4,2019-12-01
2020,Jan,1,150.2,2020-01-01
2020,Feb,2,149.1,2020-02-01
2020,Mar,3,148.6,2020-03-01
2020,Apr,4,151.4,2020-04-01
2020,May,5,150.9,2020-05-01
2020,Jun,6,151.8,2020-06-01
2020,Jul,7,153.9,2020-07-01
2020,Aug,8,154.7,2020-08-01
2020,Sep,9,156.4,2020-09-01
2020,Oct,10,158.4,2020-10-01
2020,Nov,11,158.9,2020-11-01
2020,Dec,12,157.3,2020-12-01
2021,Jan,1,156.3,2021-01-01
2021,Feb,2,156.6,2021-02-01
2021,Mar,3,156.8,2021-03-01
2021,Apr,4,157.8,2021-04-01
2021,May,5,160.4,2021-05-01
2021,Jun,6,161.3,2021-06-01
2021,Jul,7,162.5,2021-07-01
2021,Aug,8,162.9,2021-08-01
2021,Sep,9,163.2,2021-09-01
2021,Oct,10,165.5,2021-10-01
2021,Nov,11,166.7,2021-11-01
2021,Dec,12,166.2,2021-12-01
2022,Jan,1,165.7,2022-01-01
2022,Feb,2,166.1,2022-02-01
2022,Mar,3,167.7,2022-03-01
2022,Apr,4,170.1,2022-04-01
2022,May,5,171.7,2022-05-01
2022,Jun,6,172.6,2022-06-01
2022,Jul,7,173.4,2022-07-01
2022,Aug,8,174.3,2022-08-01
2022,Sep,9,175.3,2022-09-01
2022,Oct,10,176.7,2022-10-01
2022,Nov,11,176.5,2022-11-01
2022,Dec,12,175.7,2022-12-01
2023,Jan,1,176.5,2023-01-01
2023,Feb,2,176.8,2023-02-01
2023,Mar,3,177.2,2023-03-01
2023,Apr,4,178.1,2023-04-01
2023,May,5,179.1,2023-05-01
2023,Jun,6,181.0,2023-06-01
2023,Jul,7,186.3,2023-07-01
2023,Aug,8,186.2,2023-08-01
2023,Sep,9,184.1,2023-09-01
2023,Oct,10,185.3,2023-10-01
2023,Nov,11,186.3,2023-11-01
2023,Dec,12,185.7,2023-12-01
2024,Jan,1,185.5,2024-01-01
2024,Feb,2,185.8,2024-02-01
2024,Mar,3,185.8,2024-03-01
2024,Apr,4,186.7,2024-04-01
2024,May,5,187.7,2024-05-01
2024,Jun,6,190.2,2024-06-01
2024,Jul,7,193.0,2024-07-01
2024,Aug,8,193.0,2024-08-01
2024,Sep,9,194.2,2024-09-01
2024,Oct,10,196.8,2024-10-01
2024,Nov,11,196.5,2024-11-01
2024,Dec,12,195.4,2024-12-01
2025,Jan,1,193.4,2025-01-01
2025,Feb,2,192.5,2025-02-01
2025,Mar,3,192.0,2025-03-01
